ID	WC_TA	RE_TA	EBIT_TA	MVE_BVTD	S_TA	Industry	Rating
84332	-0.004	0.022	0.031	0.441	0.142	9	BB
56475	-0.046	-0.164	0.027	0.218	0.103	1	B
73573	0.098	0.34	0.052	2.606	0.578	1	A
74651	0.085	0.079	0.05	0.285	0.088	12	B
45080	0.065	0.086	0.045	1.357	0.22	6	BBB
51518	0.078	0.167	0.05	1.229	0.301	5	BBB
62986	0.202	0.243	0.062	1.212	0.287	12	BBB
67985	0.231	0.274	0.063	1.736	0.292	8	A
47162	0.236	0.378	0.072	1.793	0.211	4	A
65711	0.256	0.453	0.066	2.279	0.314	8	A
37265	0.065	0.096	0.052	0.482	0.129	7	BB
38115	0.382	0.638	0.073	5.137	0.702	12	AAA
48603	0.222	0.53	0.059	5.021	0.741	2	AAA
77717	0.392	0.63	0.085	3.907	0.424	4	AAA
73380	0.281	0.46	0.072	4.194	0.517	3	AAA
61030	0.145	0.431	0.057	1.921	0.207	11	A
80757	0.502	0.901	0.117	12.926	0.918	5	AAA
32663	0.341	0.814	0.071	22.378	1.358	5	AAA
55843	0.142	0.235	0.05	1.849	0.355	7	A
67369	-0.09	-0.887	0.016	0.333	0.146	1	CCC
77386	0.064	0.189	0.045	1.636	0.44	10	BBB
44610	0.254	0.226	0.064	0.779	0.254	5	BB
53021	0.051	0.048	0.049	0.894	0.156	7	BBB
81662	0.354	0.767	0.083	12.538	0.892	10	AAA
35430	0.305	0.513	0.073	2.962	0.48	7	AA
81736	0.337	0.618	0.076	6.741	0.654	7	AAA
53244	0.314	0.275	0.076	0.625	0.187	9	BB
48972	0.344	0.588	0.078	8.463	0.589	7	AAA
64827	0.254	0.308	0.062	0.765	0.109	4	BBB
42478	0.1	0.094	0.047	0.56	0.145	4	BB
78168	0.045	0.332	0.048	3.146	0.547	2	AA
75497	0.59	0.82	0.116	5.383	0.506	6	AAA
33106	0.236	0.526	0.063	4.232	0.586	10	AAA
48913	0.299	0.176	0.07	0.512	0.183	9	BB
54062	0.059	0.23	0.037	2.798	0.834	2	AA
70683	0.084	0.464	0.059	5.251	0.279	3	AAA
50489	0.336	0.266	0.08	0.366	0.087	7	BBB
41751	-0.104	-0.038	0.011	0.82	0.228	3	BB
44599	0.418	0.575	0.087	2.157	0.299	4	AA
67795	0.109	0.118	0.055	0.577	0.185	6	BB
35269	0.281	0.209	0.072	0.654	0.132	12	BB
72386	0.293	0.438	0.067	1.634	0.332	3	A
35619	0.012	-0.15	0.044	0.208	0.106	10	B
46624	0.17	0.435	0.059	2.633	0.414	3	AA
60218	0.06	0.246	0.05	1.417	0.226	10	A
70573	0.319	0.418	0.081	1.286	0.335	11	A
73127	-0.071	-0.571	-0.001	0.313	0.084	5	CCC
78450	0.282	0.48	0.071	3.693	0.633	9	AAA
61363	0.216	0.401	0.056	3.813	0.607	4	AAA
40322	0.241	0.438	0.061	2.595	0.594	7	AA
65986	0.066	0.041	0.046	0.324	0.089	7	BB
48290	-0.015	0.083	0.026	1.759	0.326	3	BBB
67897	-0.059	-0.126	0.004	0.292	0.149	11	B
81734	0.045	0.204	0.048	0.727	0.172	7	BB
54568	0.36	0.401	0.092	1.464	0.218	11	A
45684	0.031	0.331	0.05	3.057	0.577	2	AA
84725	-0.01	0.006	0.033	0.383	0.201	4	B
57474	0.155	0.168	0.055	0.759	0.125	1	BB
33211	0.039	0.267	0.043	2.392	0.511	7	AA
68009	0.35	0.394	0.083	1.347	0.249	9	BBB
68792	-0.002	0.067	0.031	0.64	0.195	11	BB
69976	0.291	0.532	0.064	4.282	0.405	6	AAA
44294	0.07	0.243	0.053	0.842	0.227	4	BBB
33708	-0.07	-0.188	0.017	0.287	0.14	7	B
52941	0.217	0.278	0.054	2.062	0.356	7	A
76172	0.174	0.303	0.064	1.201	0.254	5	BBB
68093	0.004	0.131	0.033	0.578	0.235	5	BB
42208	0.079	0.261	0.045	2.312	0.46	3	AA
64290	0.235	0.384	0.062	2.618	0.319	3	AA
39277	-0.011	0.053	0.027	0.981	0.259	2	BB
83311	0.345	0.611	0.075	4.806	0.494	2	AAA
73318	0.24	0.341	0.062	1.557	0.412	7	A
55409	0.027	0.068	0.04	0.585	0.138	5	BB
64362	-0.008	-0.145	0.029	0.288	0.157	12	B
42510	0.2	0.192	0.058	0.584	0.16	5	BB
81389	0.548	0.981	0.094	24.344	1.778	5	AAA
65202	-0.529	-1.857	-0.101	0.155	0.107	8	CCC
81296	0.008	-0.059	0.046	0.363	0.171	7	B
49020	-0.023	-0.008	0.037	0.494	0.317	12	BB
69803	0.256	0.36	0.069	1.181	0.255	6	BBB
51950	0.011	-0.017	0.032	0.456	0.163	1	B
80548	0.189	0.148	0.066	0.405	0.11	8	BB
47771	0.141	0.501	0.058	5.837	0.783	3	AAA
73227	0.196	0.374	0.057	2.448	0.386	2	AA
73111	0.006	0.084	0.033	0.791	0.213	8	BBB
55433	-0.04	-0.271	0.034	0.367	0.093	10	B
38893	0.008	0.049	0.037	0.479	0.193	3	BB
57077	0.311	0.516	0.071	2.435	0.312	3	AA
41530	0.117	0.266	0.053	1.167	0.281	6	BBB
43288	0.115	0.23	0.05	1.966	0.271	8	A
55459	0.107	0.262	0.056	3.101	0.388	11	AA
43994	0.356	0.638	0.079	9.42	1.028	11	AAA
68027	0.003	0.186	0.05	1.816	0.475	5	BBB
38353	-0.027	-0.007	0.021	0.601	0.105	5	BB
73915	0.317	0.501	0.07	3.955	0.298	8	AAA
62009	0.245	0.362	0.067	1.216	0.327	3	BBB
62148	0.219	0.269	0.066	1.052	0.267	3	A
35184	0.263	0.433	0.061	1.98	0.394	9	A
41584	0.167	0.195	0.061	0.832	0.138	11	BBB
68089	0.111	0.181	0.043	1.15	0.283	6	A
65831	0.172	0.238	0.056	0.808	0.259	9	BBB
34308	-0.572	-1.913	-0.106	0.045	0.059	8	CCC
50809	0.313	0.335	0.084	0.743	0.16	7	BBB
68087	0.23	0.056	0.076	0.098	0.074	1	BB
43790	0.208	0.268	0.065	0.852	0.295	6	BBB
48033	0.287	0.505	0.071	3.193	0.445	2	AA
62297	-0.012	-0.05	0.028	0.421	0.146	4	B
34375	0.256	0.453	0.064	3.8	0.49	3	AAA
74814	0.05	0.13	0.051	0.465	0.203	10	B
56059	0.307	0.409	0.075	1.464	0.321	8	A
43455	-0.14	-0.475	-0.002	0.413	0.134	9	B
38418	0.155	0.206	0.053	1.003	0.262	5	BBB
32555	-0.026	-0.054	0.035	0.376	0.133	7	BB
45505	0.038	0.011	0.056	0.779	0.408	2	BBB
48028	0.037	-0.043	0.037	0.178	0.075	2	BB
40210	0.215	0.297	0.065	1.139	0.27	9	BB
66011	-0.002	0.084	0.034	0.907	0.29	6	BB
38180	0.038	0.21	0.04	1.667	0.318	9	BBB
70202	0.137	0.341	0.052	2.143	0.275	11	A
46000	0.014	0.011	0.037	0.352	0.158	6	B
78370	0.11	0.199	0.051	1.816	0.293	9	A
49187	0.092	0.229	0.046	1.736	0.326	3	A
65052	0.119	-0.025	0.055	0.157	0.073	9	B
66999	0.317	0.529	0.08	1.781	0.309	3	AA
43312	-0.017	0.393	0.029	10.851	0.848	1	AAA
35281	-0.018	-0.38	0.025	0.142	0.089	3	B
78782	0.407	0.342	0.108	0.718	0.119	7	BBB
44885	-0.039	-0.268	0.002	0.416	0.206	11	B
40965	0.389	0.511	0.086	2.593	0.344	7	AA
42424	0.226	0.399	0.059	2.768	0.322	4	AA
61694	0.384	0.629	0.07	4.666	0.451	7	AAA
43355	0.375	0.731	0.092	8.91	0.677	8	AAA
78608	0.211	0.229	0.067	0.971	0.187	12	A
70273	0.117	0.227	0.053	1.155	0.303	12	BBB
39164	-0.008	-0.122	0.037	0.204	0.116	4	B
69759	0.03	0.132	0.037	0.882	0.257	4	BB
51994	-0.014	-0.282	0.028	0.241	0.078	1	B
70845	0.274	0.445	0.069	2.676	0.382	2	AA
65783	0.019	0.26	0.042	3.331	0.453	7	AA
64067	0.19	0.366	0.052	1.94	0.306	12	A
43255	0.05	0.192	0.034	1.854	0.385	10	BBB
70114	-0.427	-1.914	-0.025	0.038	0.067	5	CCC
47585	-0.065	0.182	0.024	3.054	0.728	12	A
71180	0.084	0.124	0.059	0.602	0.175	12	BBB
33989	0.169	0.254	0.063	0.703	0.203	5	BBB
38875	0.334	0.385	0.07	0.61	0.169	1	BB
74272	0.094	0.315	0.048	2.084	0.384	8	A
52918	-0.02	0.074	0.027	0.452	0.177	7	BB
34579	-0.078	-0.2	0.005	0.57	0.324	9	BB
71891	0.02	0.064	0.035	1.029	0.308	1	BBB
61687	0.013	0.189	0.044	1.785	0.45	4	A
43261	0.125	0.28	0.056	1.266	0.364	11	BBB
60043	-0.034	-0.008	0.03	0.525	0.311	3	BB
56206	-0.02	0.034	0.031	0.679	0.199	11	BBB
53755	0.224	0.416	0.057	2.106	0.28	9	A
46295	-0.003	-0.027	0.038	0.453	0.234	1	B
48662	0.3	0.307	0.064	1.709	0.311	7	A
49098	0.302	0.58	0.069	5.481	0.496	5	AAA
49559	-0.047	0.046	0.025	1.494	0.289	10	BBB
70689	0.233	0.096	0.072	0.218	0.099	5	B
60629	0.466	0.508	0.09	2.748	0.33	6	AA
78468	0.34	0.452	0.073	2.639	0.395	12	AA
84816	0.266	0.389	0.065	1.089	0.18	3	BBB
57650	0.067	0.194	0.047	1.797	0.41	5	A
35629	0.107	0.252	0.049	1.279	0.317	10	BBB
57711	0.111	0.28	0.054	2.546	0.425	2	A
40620	0.163	0.51	0.052	3.518	0.537	6	AAA
65973	0.198	0.668	0.067	7.097	0.929	2	AAA
56504	0.488	0.815	0.107	14.876	1.068	4	AAA
61360	0.058	0.124	0.04	0.482	0.133	7	BB
56175	0.042	0.03	0.044	0.455	0.122	4	B
84556	0.219	0.401	0.068	1.736	0.307	7	A
35531	0.366	0.523	0.071	2.807	0.319	2	AA
75059	0.39	0.626	0.081	3.687	0.48	4	AAA
57271	0.03	0.018	0.04	0.708	0.219	6	BBB
35977	0.191	0.512	0.065	4.788	0.624	10	AAA
54691	0.553	0.433	0.099	0.957	0.295	4	BBB
72750	0.463	0.711	0.084	13.845	1.095	4	AAA
42411	0.027	0.012	0.032	0.533	0.143	11	BB
70744	0.217	0.315	0.065	1.167	0.211	1	BBB
35870	0.151	0.336	0.057	2.026	0.31	1	A
74644	0.169	0.328	0.054	1.809	0.278	8	A
63374	0.357	0.755	0.089	7.669	0.506	6	AAA
67770	-0.191	-0.484	-0.021	0.854	0.179	6	BB
64724	0.158	0.467	0.06	6.147	0.417	6	AAA
69198	0.097	0.319	0.048	3.229	0.475	12	AA
40037	0.44	0.794	0.096	14.842	1.137	10	AAA
78816	0.303	0.396	0.077	1.524	0.291	1	A
41975	0.307	0.573	0.074	3.326	0.48	4	AAA
65123	0.3	0.182	0.067	0.138	0.072	2	B
71197	0.127	0.171	0.05	0.252	0.083	5	BB
34610	0.4	0.218	0.059	0.588	0.157	2	BBB
74269	0.417	0.681	0.078	5.86	0.6	1	AAA
63508	0.202	0.01	0.059	0.416	0.158	2	B
78549	-0.032	-0.063	0.028	0.517	0.23	10	BB
61033	-0.036	-0.199	0.03	0.191	0.099	5	B
48619	-0.013	-0.102	0.023	0.483	0.186	9	B
75412	0.262	0.42	0.071	2.219	0.305	3	AA
46990	-0.002	0.13	0.026	0.721	0.203	8	BB
76549	-0.004	0.2	0.025	4.238	0.499	12	AAA
65309	0.267	0.443	0.063	2.905	0.292	5	AA
81425	0.064	0.292	0.048	1.973	0.342	1	A
44565	0.086	0.181	0.054	0.983	0.272	11	BBB
43224	-0.06	-0.335	0.021	0.145	0.098	9	CCC
78115	0.282	0.289	0.09	0.56	0.117	8	BB
58731	0.008	0.048	-0.01	0.325	0.109	1	B
33686	0.001	-0.3	0.032	0.287	0.09	11	B
63610	0.043	-0.057	0.037	0.153	0.104	8	B
46211	0.169	0.413	0.062	2.418	0.391	6	AA
63156	0.108	0.228	0.053	1.668	0.303	4	BBB
66750	0.033	0.127	0.039	1.372	0.3	3	BBB
53303	0.192	0.104	0.057	0.257	0.084	4	BB
77157	0.098	0.163	0.049	0.953	0.205	12	BBB
46308	-0.039	-0.079	0.024	0.547	0.168	7	BB
33760	0.293	0.416	0.066	3.697	0.442	4	AA
37282	-0.007	-0.004	0.033	0.401	0.103	3	BB
60272	0.058	-0.23	0.049	0.119	0.081	2	CCC
69053	0.011	0.192	0.03	2.215	0.432	5	A
62858	0.099	0.176	0.052	0.666	0.176	7	BB
59833	0.278	0.354	0.07	1.667	0.284	8	A
45529	0.139	0.16	0.048	0.595	0.185	1	BB
38173	0.188	0.101	0.055	0.29	0.106	11	BB
85012	0.298	0.56	0.072	4.964	0.646	5	AAA
64791	0.19	0.361	0.066	1.855	0.309	6	AA
57250	0.078	0.209	0.04	1.09	0.337	5	BBB
53007	0.205	0.247	0.059	1.006	0.278	7	BBB
47646	0.007	-0.133	0.031	0.278	0.11	11	B
38825	0.024	-0.282	0.03	0.111	0.114	2	B
48224	0.157	0.557	0.068	1.457	0.272	10	A
36740	-0.004	-0.039	0.029	0.298	0.126	8	BB
61758	0.147	0.348	0.05	1.746	0.333	7	A
59954	0.098	0.089	0.051	0.416	0.092	11	BB
53277	-0.043	-0.816	0.035	0.047	0.041	4	CCC
53107	0.09	0.213	0.045	1.244	0.248	5	BBB
52512	0.055	0.298	0.052	1.29	0.306	11	A
78868	0.19	0.309	0.06	1.262	0.293	10	BBB
60603	0.161	0.338	0.057	1.954	0.266	8	A
39249	-0.096	-0.525	0.007	0.279	0.101	7	B
38302	0.138	0.312	0.051	3.563	0.612	8	AA
47164	-0.042	-0.016	0.014	0.825	0.253	10	B
66818	0.016	0.101	0.034	0.73	0.266	12	BB
44994	0.181	0.133	0.058	0.5	0.135	2	B
50535	0.436	0.644	0.089	4.146	0.384	4	AAA
52186	-0.098	-0.11	0.018	0.451	0.169	8	B
75530	0.017	-0.003	0.035	0.457	0.146	9	B
83646	0.703	1.121	0.144	15.476	0.579	4	AAA
49298	0.12	0.04	0.044	0.489	0.136	7	BB
59989	0.011	-0.033	0.026	0.354	0.134	8	BB
73896	-0.006	0.105	0.033	0.882	0.286	9	BB
78088	0.005	0.045	0.034	1.001	0.154	8	BBB
68324	0.267	0.3	0.071	1.116	0.226	6	BBB
57945	0.497	0.709	0.092	6.151	0.523	3	AAA
41985	-0.023	0.067	0.024	1.351	0.231	7	BBB
70641	0.019	0.167	0.039	1.192	0.194	1	BB
74199	0.241	0.385	0.06	2.714	0.408	3	AA
50006	0.537	0.665	0.108	2.965	0.331	9	AAA
70851	0.338	0.263	0.056	1.469	0.308	5	BBB
61440	-0.014	-0.264	0.026	0.219	0.127	11	B
42470	-0.011	-0.266	0.034	0.225	0.098	1	B
36585	0.125	0.174	0.053	0.725	0.153	5	BB
82481	0.171	0.25	0.06	1.519	0.315	7	BBB
52480	0.24	0.306	0.06	0.976	0.263	3	BBB
60856	0.088	0.129	0.048	0.617	0.128	3	BBB
47040	-0.064	0.125	0.024	1.248	0.27	9	BB
58033	0.257	0.338	0.064	1.122	0.186	6	BBB
46852	0.024	0.11	0.044	0.59	0.092	4	BB
55111	0.123	0.159	0.054	0.782	0.199	4	B
59080	0.226	0.331	0.064	2.111	0.295	1	A
50074	0.061	-0.173	0.04	0.108	0.099	8	BB
59816	0.122	0.299	0.053	1.687	0.326	11	A
62062	0.013	0.069	0.04	0.404	0.148	8	BB
64375	0.45	0.403	0.089	0.415	0.085	12	BB
62151	0.081	0.198	0.051	1.436	0.207	1	BBB
37247	0.075	0.229	0.044	2.469	0.392	3	AA
39448	-0.045	0.132	0.031	1.858	0.419	1	A
58541	0.034	0.176	0.044	1.197	0.237	11	BBB
66321	-0.12	-0.292	0.01	0.418	0.191	4	BB
42020	0.009	-0.069	0.036	0.548	0.161	12	BB
80650	0.017	0.092	0.033	0.821	0.263	10	BB
52065	0.41	0.683	0.085	4.522	0.593	4	AAA
43134	0.143	0.333	0.056	2.566	0.412	8	AA
60966	-0.06	0.062	0.025	0.955	0.147	2	BBB
53554	0.22	0.333	0.058	0.956	0.205	6	BBB
48935	-0.027	0.106	0.032	1.777	0.295	5	BBB
47294	0.134	0.299	0.054	1.13	0.24	6	A
84740	-0.036	0.061	0.009	3.827	0.842	8	AA
84088	0.022	-0.266	0.03	0.218	0.082	10	CCC
64133	0.29	0.413	0.062	2.06	0.47	3	AA
78327	0.191	0.373	0.058	2.17	0.317	7	AA
40588	0.069	0.325	0.042	2.553	0.673	12	AA
70053	0.22	0.387	0.057	2.563	0.406	3	AA
42840	0.065	0.223	0.042	1.879	0.327	7	A
54838	0.143	0.335	0.054	2.132	0.529	5	A
61437	0.483	0.587	0.1	2.714	0.428	1	AA
41172	0.024	0.005	0.042	0.394	0.179	4	BB
32866	-0.024	-0.12	0.026	0.242	0.169	3	B
52791	0.081	0.24	0.045	1.541	0.185	2	BBB
68984	0.098	0.218	0.051	1.175	0.233	12	A
61748	0.045	0.017	0.048	0.336	0.102	2	BB
81231	0.275	0.444	0.079	2.901	0.43	7	AAA
34008	0.478	0.624	0.087	3.022	0.344	10	AA
63532	0.017	0.198	0.039	1.397	0.414	11	A
51781	0.06	0.168	0.037	0.897	0.321	5	BBB
79694	0.045	0.129	0.047	1.045	0.152	2	BB
71190	0.091	0.266	0.052	2.14	0.184	10	A
50312	-0.028	-0.088	0.012	0.554	0.14	4	BB
